1,1
2,1
3,1
4,3
5,4
6,5
7,6
8,7
9,8
10,10
11,10
12,10
13,10
14,10
15,11
16,13
17,15
18,20
19,21
20,26
21,28
22,29
23,31
24,33
25,35
26,38
27,41
28,43
29,48
30,50
31,56
32,60
33,63
34,73
35,75
36,81
37,88
38,92
39,101
40,116
41,117
42,122
43,125
44,129
45,137
46,147
47,158
48,165
49,172
50,178
51,181
52,187
53,196
54,203
55,211
56,221
57,224
58,232
59,242
60,248
61,257
62,268
63,282
64,296
65,310
66,324
67,331
68,340
69,345
70,354
71,367
72,376
73,382
74,388
75,401
76,406
77,413
78,415
79,423
80,428
81,435
82,441
83,449
84,456
85,466
86,471
87,477
88,483
89,486
90,490
91,496
92,498
93,506
94,508
95,512
96,515
97,517
98,519
99,522
100,524
101,525
102,526
103,527
104,527
105,529
106,530
107,531
108,532
109,532
110,532
111,532
112,532
113,533
114,533
115,533
116,533
117,533
118,533
119,533
120,533
121,533
122,533
123,533
124,533
125,533
126,533
127,533
128,533
129,533
130,533
131,533
132,533
133,533
134,533
135,533
136,533
137,533
138,533
139,533
140,533
141,533
142,533
143,533
144,533
145,533
146,533
147,533
148,533
149,533
150,533
151,533
152,533
153,533
154,533
155,533
156,533
157,533
158,533
159,533
160,533
161,533
162,533
163,533
164,533
165,533
166,533
167,533
168,533
169,533
170,533
171,533
172,533
173,533
174,533
175,533
176,533
177,533
178,533
179,533
180,533
181,533
182,533
183,533
184,533
185,533
186,533
187,533
188,533
189,533
190,533
191,533
192,533
193,533
194,533
195,533
196,533
197,533
198,533
199,533
200,533
